hit_cnt,sip_cnt,dip,dport,proto,inif,outif,src_ip
12,6,691281674,2492,6,proxy8,proxy9,1191291072;671197376;660973760;654420160;553756864;536979648
12,4,1434287483,80,6,proxy8,proxy9,1191291072;1124182208;1073850560;553756864
12,4,2459400298,80,6,proxy8,proxy9,704751808;687974592;570534080;536979648
12,4,2341362288,8000,17,proxy8,proxy9,704751808;671197376;620865728;335653056
12,3,87213925,80,6,proxy8,proxy9,1191291072;671197376;553756864
12,2,3104025222,80,6,proxy8,proxy9,660973760;570534080
12,2,3166497088,5228,6,proxy8,proxy9,660973760;654420160
12,2,832622181,443,6,proxy8,proxy9,1124182208;660973760
12,2,2090036772,80,6,proxy8,proxy9,704751808;687974592
12,1,774426827,80,6,proxy8,proxy9,660973760
12,1,2885275493,80,6,proxy8,proxy9,1124182208
12,1,2612227899,80,6,proxy8,proxy9,553756864
12,1,4246727901,80,6,proxy8,proxy9,654420160
12,1,2234044619,80,6,proxy8,proxy9,335653056
12,1,2214186853,443,6,proxy8,proxy9,1124182208
12,1,886635743,80,6,proxy8,proxy9,654420160
12,1,270064044,80,6,proxy8,proxy9,520202432
12,1,395396453,443,6,proxy8,proxy9,1124182208
12,1,2302266991,53,17,proxy8,proxy9,637642944
12,1,1845587057,8000,17,proxy8,proxy9,1124182208
12,1,2954924919,8000,17,proxy8,proxy9,687974592
11,6,644270703,80,6,proxy8,proxy9,1191291072;1124182208;1073850560;620865728;553756864;520202432
11,3,596864548,80,6,proxy8,proxy9,704751808;687974592;536979648
11,3,2073259556,80,6,proxy8,proxy9,704751808;570534080;536979648
11,2,762455223,80,6,proxy8,proxy9,660973760;654420160
11,2,1051109343,80,6,proxy8,proxy9,704751808;553756864
11,2,933668831,443,6,proxy8,proxy9,1191291072;520202432
11,1,850095652,80,6,proxy8,proxy9,660973760
11,1,850515726,443,6,proxy8,proxy9,660973760
11,1,1230332340,80,6,proxy8,proxy9,660973760
11,1,1786945491,80,6,proxy8,proxy9,1124182208
11,1,1050436298,80,6,proxy8,proxy9,654420160
11,1,3715579063,8701,17,proxy8,proxy9,620865728
11,1,1532041336,123,17,proxy8,proxy9,2634131648
10,4,737552234,80,6,proxy8,proxy9,704751808;687974592;654420160;536979648
10,2,3160519020,5228,6,proxy8,proxy9,660973760;654420160
10,2,3036916358,80,6,proxy8,proxy9,660973760;536979648
10,2,594462565,80,6,proxy8,proxy9,704751808;687974592
10,2,654128701,80,6,proxy8,proxy9,671197376;520202432
10,2,4002993934,8000,17,proxy8,proxy9,671197376;620865728
10,1,2367872283,80,6,proxy8,proxy9,553756864
10,1,815844965,443,6,proxy8,proxy9,1124182208
10,1,1091840943,80,6,proxy8,proxy9,660973760
10,1,1678931638,80,6,proxy8,proxy9,660973760
10,1,1087382937,443,6,proxy8,proxy9,660973760
10,1,2113740480,443,6,proxy8,proxy9,536979648
10,1,673829067,443,6,proxy8,proxy9,520202432
10,1,592367244,80,6,proxy8,proxy9,1191291072
10,1,353277622,80,6,proxy8,proxy9,536979648
9,4,1707900234,80,6,proxy8,proxy9,1191291072;1124182208;671197376;660973760
9,4,661047919,80,6,proxy8,proxy9,1124182208;1073850560;620865728;553756864
9,3,1668204389,80,6,proxy8,proxy9,704751808;687974592;553756864
9,2,660973760,2492,6,proxy9,proxy8,3087248006;3053693574
9,2,1525416857,80,6,proxy8,proxy9,671197376;660973760
9,2,2991042979,80,6,proxy8,proxy9,671197376;520202432
9,2,3109191035,80,6,proxy8,proxy9,1191291072;520202432
9,2,654420160,2492,6,proxy9,proxy8,3087248006;3053693574
9,2,3935885070,8000,17,proxy8,proxy9,671197376;620865728
9,1,1895344965,443,6,proxy8,proxy9,660973760
9,1,819100534,443,6,proxy8,proxy9,660973760
9,1,3915932084,443,6,proxy8,proxy9,660973760
9,1,1447365919,443,6,proxy8,proxy9,660973760
9,1,2551672010,80,6,proxy8,proxy9,660973760
9,1,2064807606,80,6,proxy8,proxy9,660973760
9,1,3826191738,80,6,proxy8,proxy9,660973760
9,1,290393375,443,6,proxy8,proxy9,660973760
9,1,22088991,443,6,proxy8,proxy9,660973760
9,1,1254100288,443,6,proxy8,proxy9,654420160
9,1,849782751,80,6,proxy8,proxy9,687974592
9,1,351775557,443,6,proxy8,proxy9,654420160
9,1,17073078,80,6,proxy8,proxy9,654420160
9,1,2800657332,80,6,proxy8,proxy9,687974592
9,1,2800657332,443,6,proxy8,proxy9,687974592
9,1,3827814603,443,6,proxy8,proxy9,536979648
9,1,1788467261,123,17,proxy8,proxy9,2634131648
8,4,2345434442,80,6,proxy8,proxy9,1191291072;1124182208;671197376;660973760
8,4,732655140,80,6,proxy8,proxy9,704751808;660973760;654420160;536979648
8,2,33689772,21,6,proxy8,proxy9,660973760;654420160
8,2,2090301546,80,6,proxy8,proxy9,704751808;687974592
8,2,380020703,80,6,proxy8,proxy9,1191291072;520202432
8,2,3321602996,80,6,proxy8,proxy9,704751808;687974592
8,1,1112411423,443,6,proxy8,proxy9,660973760
8,1,320250223,80,6,proxy8,proxy9,660973760
8,1,2598198490,80,6,proxy8,proxy9,660973760
8,1,1056889259,80,6,proxy8,proxy9,660973760
8,1,2345739673,443,6,proxy8,proxy9,660973760
8,1,556323019,80,6,proxy8,proxy9,660973760
8,1,1831718769,80,6,proxy8,proxy9,553756864
8,1,984000479,443,6,proxy8,proxy9,553756864
8,1,907304056,80,6,proxy8,proxy9,536979648
8,1,3476102519,80,6,proxy8,proxy9,1124182208
8,1,833005535,443,6,proxy8,proxy9,687974592
8,1,1784372344,80,6,proxy8,proxy9,536979648
8,1,302640170,80,6,proxy8,proxy9,520202432
8,1,553756864,2492,6,proxy9,proxy8,3087248006
8,1,1118381930,80,6,proxy8,proxy9,654420160
8,1,981114173,80,6,proxy8,proxy9,687974592
8,1,3989069672,443,6,proxy8,proxy9,687974592
8,1,287844631,443,6,proxy8,proxy9,687974592
8,1,922967160,80,6,proxy8,proxy9,671197376
8,1,967223263,443,6,proxy8,proxy9,553756864
8,1,2196677556,443,6,proxy8,proxy9,704751808
8,1,1546731050,7501,17,proxy8,proxy9,620865728
7,7,3087248006,443,6,proxy8,proxy9,687974592;671197376;660973760;660842688;654420160;553756864;520202432
7,4,1909226826,80,6,proxy8,proxy9,1124182208;671197376;660973760;536979648
7,3,1691123018,80,6,proxy8,proxy9,1191291072;1124182208;660973760
7,3,1491062383,443,6,proxy8,proxy9,1191291072;671197376;620865728
7,2,1368895907,443,6,proxy8,proxy9,1124182208;660973760
7,2,984000479,80,6,proxy8,proxy9,637642944;553756864
7,2,1863466167,8000,17,proxy8,proxy9,671197376;520202432
7,1,1621239658,443,6,proxy8,proxy9,660973760
7,1,4103420871,443,6,proxy8,proxy9,660973760
7,1,4072940718,443,6,proxy8,proxy9,660973760
7,1,1940031293,80,6,proxy8,proxy9,660973760
7,1,2562361149,80,6,proxy8,proxy9,660973760
7,1,1366477423,80,6,proxy8,proxy9,660973760
7,1,1909537975,80,6,proxy8,proxy9,660973760
7,1,1408189309,80,6,proxy8,proxy9,660973760
7,1,387875766,80,6,proxy8,proxy9,660973760
7,1,1000777695,443,6,proxy8,proxy9,520202432
7,1,3748406455,443,6,proxy8,proxy9,536979648
7,1,451217015,80,6,proxy8,proxy9,1124182208
7,1,2887220603,80,6,proxy8,proxy9,654420160
7,1,3861369035,443,6,proxy8,proxy9,536979648
7,1,2230231988,80,6,proxy8,proxy9,687974592
6,4,28420288,2492,6,proxy8,proxy9,1191291072;671197376;553756864;536979648
6,4,2919475846,80,6,proxy8,proxy9,687974592;671197376;553756864;520202432
6,3,2328657226,80,6,proxy8,proxy9,1124182208;671197376;660973760
6,3,1724677450,80,6,proxy8,proxy9,1124182208;660973760;536979648
6,3,1366477423,443,6,proxy8,proxy9,1191291072;1124182208;660973760
6,3,3884604016,8080,6,proxy8,proxy9,1124182208;704751808;520202432
6,3,220270862,8080,6,proxy8,proxy9,1073850560;671197376;335653056
6,2,625921676,80,6,proxy8,proxy9,1191291072;520202432
6,2,2442623082,80,6,proxy8,proxy9,687974592;536979648
6,2,2654878903,8000,17,proxy8,proxy9,704751808;687974592
6,1,1017554911,80,6,proxy8,proxy9,520202432
6,1,3166431552,5228,6,proxy8,proxy9,660973760
6,1,376643444,80,6,proxy8,proxy9,660973760
6,1,4006099672,443,6,proxy8,proxy9,660973760
6,1,485854390,80,6,proxy8,proxy9,660973760
6,1,810876535,80,6,proxy8,proxy9,660973760
6,1,891172923,80,6,proxy8,proxy9,660973760
6,1,197213658,80,6,proxy8,proxy9,660973760
6,1,3248189810,80,6,proxy8,proxy9,660973760
